time,T [Nm],w [rad/s]
0.00015147,624.01,-198.74
0.00015301,619.61,-189.12
0.00015456,613.74,-179.57
0.00015611,606.42,-170.13
0.00015766,597.68,-160.81
0.00015921,587.54,-151.64
0.00016076,576.03,-142.63
0.00016231,563.17,-133.82
0.00016385,549.01,-125.21
0.0001654,533.59,-116.83
0.00016695,516.93,-108.7
0.0001685,499.09,-100.84
0.00017005,480.11,-93.265
0.0001716,460.04,-85.992
0.00017315,438.93,-79.037
0.00017469,416.84,-72.417
0.00017624,393.82,-66.146
0.00017779,369.94,-60.238
0.00017934,345.24,-54.707
0.00018089,319.81,-49.564
0.00018244,293.69,-44.82
0.00018399,266.96,-40.486
0.00018554,239.68,-36.57
0.00018708,211.93,-33.08
0.00018863,183.77,-30.023
0.00019018,155.27,-27.405
0.00019173,126.51,-25.23
0.00019328,97.559,-23.503
0.00019483,68.487,-22.224
0.00019638,39.369,-21.397
0.00019792,10.278,-21.02
0.00019947,-18.713,-21.092
0.00020102,-47.533,-21.613
0.00020257,-76.108,-22.578
0.00020412,-104.37,-23.983
0.00020567,-132.24,-25.823
0.00020722,-159.66,-28.091
0.00020876,-186.55,-30.779
0.00021031,-212.86,-33.879
0.00021186,-238.5,-37.382
0.00021341,-263.43,-41.276
0.00021496,-287.58,-45.55
0.00021651,-310.89,-50.191
0.00021806,-333.29,-55.187
0.0002196,-354.75,-60.522
0.00022115,-375.2,-66.181
0.0002227,-394.59,-72.149
0.00022425,-412.87,-78.409
0.0002258,-430.01,-84.942
0.00022735,-445.96,-91.732
0.00022924,-463.82,-100.37
0.00023114,-479.78,-109.33
0.00023304,-493.76,-118.58
0.00023494,-505.73,-128.07
0.00023683,-515.65,-137.76
0.00023873,-523.47,-147.63
0.00024063,-529.17,-157.62
0.00024252,-532.74,-167.7
0.00024442,-534.16,-177.83
0.00024632,-533.43,-187.97
0.00024822,-530.56,-198.07
0.00025011,-525.56,-208.09
0.00025201,-518.45,-218.01
0.00025391,-509.27,-227.76
0.00025581,-498.06,-237.32
0.0002577,-484.85,-246.65
0.0002596,-469.71,-255.72
0.0002615,-452.69,-264.47
0.00026339,-433.86,-272.89
0.00026529,-413.3,-280.93
0.00026719,-391.1,-288.56
0.00026909,-367.33,-295.76
0.00027098,-342.09,-302.5
0.00027288,-315.48,-308.74
0.00027478,-287.62,-314.47
0.00027667,-258.59,-319.65
0.00027857,-228.54,-324.28
0.00028047,-197.56,-328.32
0.00028237,-165.78,-331.77
0.00028426,-133.33,-334.62
0.00028616,-100.34,-336.84
0.00028806,-66.931,-338.43
0.00028996,-33.239,-339.38
0.00029185,0.60525,-339.69
0.00029375,34.468,-339.36
0.00029565,68.216,-338.39
0.00029754,101.72,-336.78
0.00029944,134.84,-334.54
0.00030134,167.46,-331.68
0.00030324,199.44,-328.2
0.00030513,230.65,-324.12
0.00030703,260.99,-319.46
0.00030893,290.32,-314.23
0.00031082,318.54,-308.46
0.00031272,345.53,-302.16
0.00031462,371.19,-295.37
0.00031652,395.42,-288.1
0.00031841,418.12,-280.38
0.00032031,439.21,-272.25
0.00032221,458.6,-263.74
0.00032411,476.23,-254.87
0.000326,492.01,-245.69
0.0003279,505.9,-236.23
0.0003298,517.84,-226.52
0.00033169,527.78,-216.61
0.00033359,535.69,-206.52
0.00033549,541.53,-196.31
0.00033739,545.3,-186
0.00033928,546.96,-175.64
0.00034118,546.53,-165.28
0.00034308,544.01,-154.94
0.00034497,539.4,-144.66
0.00034687,532.73,-134.5
0.00034877,524.03,-124.48
0.00035067,513.33,-114.64
0.00035256,500.68,-105.03
0.00035446,486.14,-95.676
0.00035636,469.77,-86.614
0.00035826,451.62,-77.881
0.00036015,431.79,-69.507
0.00036205,410.35,-61.526
0.00036395,387.39,-53.965
0.00036584,363,-46.855
0.00036774,337.29,-40.219
0.00036964,310.37,-34.083
0.00037154,282.33,-28.469
0.00037343,253.31,-23.396
0.00037533,223.42,-18.882
0.00037723,192.78,-14.943
0.00037912,161.52,-11.591
0.00038102,129.77,-8.8364
0.00038292,97.659,-6.6881
0.00038482,65.321,-5.1514
0.00038671,32.888,-4.2293
0.00038861,0.49602,-3.9221
0.00039051,-31.723,-4.2281
0.00039241,-63.634,-5.1424
0.0003943,-95.108,-6.6581
0.0003962,-126.01,-8.7656
0.0003981,-156.22,-11.453
0.00039999,-185.61,-14.706
0.00040189,-214.06,-18.507
0.00040379,-241.45,-22.838
0.00040569,-267.66,-27.678
0.00040758,-292.6,-33.002
0.00040948,-316.16,-38.787
0.00041138,-338.23,-45.005
0.00041327,-358.74,-51.626
0.00041517,-377.59,-58.621
0.00041707,-394.72,-65.957
0.00041897,-410.04,-73.601
0.00042086,-423.51,-81.518
0.00042276,-435.05,-89.671
0.00042466,-444.64,-98.026
0.00042656,-452.22,-106.54
0.00042845,-457.78,-115.18
0.00043035,-461.28,-123.91
0.00043225,-462.72,-132.68
0.00043414,-462.09,-141.47
0.00043604,-459.4,-150.22
0.00043794,-454.66,-158.89
0.00043984,-447.89,-167.46
0.00044173,-439.13,-175.89
0.00044363,-428.41,-184.12
0.00044553,-415.79,-192.14
0.00044742,-401.31,-199.9
0.00044932,-385.04,-207.36
0.00045122,-367.06,-214.51
0.00045312,-347.44,-221.29
0.00045501,-326.26,-227.69
0.00045691,-303.63,-233.67
0.00045881,-279.63,-239.21
0.00046071,-254.37,-244.28
0.0004626,-227.97,-248.86
0.00046489,-194.83,-253.69
0.00046717,-160.41,-257.76
0.00046945,-124.91,-261.02
0.00047174,-88.565,-263.47
0.00047402,-51.602,-265.07
0.0004763,-14.254,-265.83
0.00047859,23.246,-265.73
0.00048087,60.66,-264.78
0.00048316,97.754,-262.97
0.00048544,134.29,-260.33
0.00048772,170.05,-256.86
0.00049001,204.8,-252.58
0.00049229,238.32,-247.53
0.00049457,270.4,-241.72
0.00049686,300.85,-235.2
0.00049914,329.46,-228.01
0.00050143,356.07,-220.19
0.00050371,380.5,-211.78
0.00050599,402.6,-202.84
0.00050828,422.24,-193.43
0.00051056,439.28,-183.6
0.00051284,453.63,-173.41
0.00051476,463.56,-164.6
0.00051476,463.56,-164.6
0.00051705,472.73,-153.91
0.00051933,479,-143.05
0.00052162,482.34,-132.08
0.0005239,482.73,-121.07
0.00052618,480.16,-110.08
0.00052847,474.66,-99.181
0.00053075,466.26,-88.444
0.00053303,455.03,-77.931
0.00053532,441.03,-67.707
0.0005376,424.37,-57.833
0.00053989,405.15,-48.369
